Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeRating,AwayRating,Difference,CorrPred,HomeTeamLeaguePos,HomeTeamPoints,HomeTeamGamesPlayed,HomeTeamGoalDifference,HomeTeamGoalsFor,HomeTeamGoalsAgainst,HomeTeamWon,HomeTeamLost,HomeTeamDrawn,HomeTeamHomePoints,HomeTeamHomeGamesPlayed,HomeTeamHomeGoalDifference,HomeTeamHomeGoalsFor,HomeTeamHomeGoalsAgainst,HomeTeamHomeWon,HomeTeamHomeLost,HomeTeamHomeDrawn,HomeTeamAwayPoints,HomeTeamAwayGamesPlayed,HomeTeamAwayGoalDifference,HomeTeamAwayGoalsFor,HomeTeamAwayGoalsAgainst,HomeTeamAwayWon,HomeTeamAwayLost,HomeTeamAwayDrawn,AwayTeamLeaguePos,AwayTeamPoints,AwayTeamGamesPlayed,AwayTeamGoalDifference,AwayTeamGoalsFor,AwayTeamGoalsAgainst,AwayTeamWon,AwayTeamLost,AwayTeamDrawn,AwayTeamHomePoints,AwayTeamHomeGamesPlayed,AwayTeamHomeGoalDifference,AwayTeamHomeGoalsFor,AwayTeamHomeGoalsAgainst,AwayTeamHomeWon,AwayTeamHomeLost,AwayTeamHomeDrawn,AwayTeamAwayPoints,AwayTeamAwayGamesPlayed,AwayTeamAwayGoalDifference,AwayTeamAwayGoalsFor,AwayTeamAwayGoalsAgainst,AwayTeamAwayWon,AwayTeamAwayLost,AwayTeamAwayDrawn,HTHomeTeamLeaguePos,HTHomeTeamPoints,HTHomeTeamGamesPlayed,HTHomeTeamGoalDifference,HTHomeTeamGoalsFor,HTHomeTeamGoalsAgainst,HTHomeTeamWon,HTHomeTeamLost,HTHomeTeamDrawn,HTHomeTeamHomePoints,HTHomeTeamHomeGamesPlayed,HTHomeTeamHomeGoalDifference,HTHomeTeamHomeGoalsFor,HTHomeTeamHomeGoalsAgainst,HTHomeTeamHomeWon,HTHomeTeamHomeLost,HTHomeTeamHomeDrawn,HTHomeTeamAwayPoints,HTHomeTeamAwayGamesPlayed,HTHomeTeamAwayGoalDifference,HTHomeTeamAwayGoalsFor,HTHomeTeamAwayGoalsAgainst,HTHomeTeamAwayWon,HTHomeTeamAwayLost,HTHomeTeamAwayDrawn,HTAwayTeamLeaguePos,HTAwayTeamPoints,HTAwayTeamGamesPlayed,HTAwayTeamGoalDifference,HTAwayTeamGoalsFor,HTAwayTeamGoalsAgainst,HTAwayTeamWon,HTAwayTeamLost,HTAwayTeamDrawn,HTAwayTeamHomePoints,HTAwayTeamHomeGamesPlayed,HTAwayTeamHomeGoalDifference,HTAwayTeamHomeGoalsFor,HTAwayTeamHomeGoalsAgainst,HTAwayTeamHomeWon,HTAwayTeamHomeLost,HTAwayTeamHomeDrawn,HTAwayTeamAwayPoints,HTAwayTeamAwayGamesPlayed,HTAwayTeamAwayGoalDifference,HTAwayTeamAwayGoalsFor,HTAwayTeamAwayGoalsAgainst,HTAwayTeamAwayWon,HTAwayTeamAwayLost,HTAwayTeamAwayDrawn,Form,PPower
2016-09-30,Everton,Crystal Palace,1,1,D,1,0,H,13,10,3,2,16,11,10,9,5,4,0,0,20.39,20.21,0.38,0,3,13,6,7,10,4,4,1,1,7,3,1,5,2,2,0,1,7,3,1,5,2,2,0,1,8,10,6,2,10,7,3,3,1,6,3,0,5,4,2,1,0,6,3,0,5,4,2,1,0,20,2,3,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,5,-2,2,3,1,1,2,2,3,0,1,2,0,1,2,2,3,0,1,2,0,1,2,14,3.9333333333333336
2016-09-30,Everton,Crystal Palace,1,1,D,1,0,H,13,10,3,2,16,11,10,9,5,4,0,0,20.39,20.21,0.38,0,3,13,6,7,10,4,4,1,1,7,3,1,5,2,2,0,1,7,3,1,5,2,2,0,1,8,10,6,2,10,7,3,3,1,6,3,0,5,4,2,1,0,6,3,0,5,4,2,1,0,20,2,3,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,5,-2,2,3,1,1,2,2,3,0,1,2,0,1,2,2,3,0,1,2,0,1,2,16,3.3499999999999996
2016-10-01,Swansea,Liverpool,1,2,A,1,0,H,8,18,3,6,11,9,3,10,2,2,0,0,19.67,20.7,-0.83,1,17,4,6,-3,5,10,1,4,1,1,3,-2,3,7,0,2,1,1,3,-2,3,7,0,2,1,5,13,6,3,16,9,4,1,1,7,4,-1,7,7,2,1,1,7,4,-1,7,7,2,1,1,3,14,8,6,9,3,4,1,2,12,5,0,9,2,4,1,0,12,5,0,9,2,4,1,0,11,7,4,-1,4,3,2,1,1,7,4,-1,4,3,2,1,1,7,4,-1,4,3,2,1,1,1,2.0
2016-10-01,Sunderland,West Brom,1,1,D,0,1,A,7,17,2,7,7,13,6,5,1,3,0,0,19.49,19.95,-0.26,0,20,1,6,-6,5,12,0,6,1,0,3,-4,3,8,0,3,0,0,3,-4,3,8,0,3,0,9,8,6,1,7,6,2,2,2,4,3,0,2,2,1,1,1,4,3,0,2,2,1,1,1,20,4,5,7,0,1,0,1,4,2,2,10,0,0,0,0,2,2,2,10,0,0,0,0,2,18,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,6,2.3833333333333333
2016-10-01,Hull,Chelsea,0,2,A,0,0,D,8,22,3,9,13,15,5,7,2,2,0,0,19.53,20.02,-0.3,1,13,7,6,-1,7,12,2,3,1,3,3,0,3,6,1,2,0,3,3,0,3,6,1,2,0,8,10,6,4,10,9,3,2,1,4,3,1,4,6,1,1,1,4,3,1,4,6,1,1,1,1,19,11,6,13,6,5,1,4,17,8,7,13,3,5,1,2,17,8,7,13,3,5,1,2,5,12,10,1,4,6,2,1,6,4,3,1,1,3,1,1,1,4,3,1,1,3,1,1,1,7,1.8
2016-10-01,Hull,Chelsea,0,2,A,0,0,D,8,22,3,9,13,15,5,7,2,2,0,0,19.53,20.02,-0.3,1,13,7,6,-1,7,12,2,3,1,3,3,0,3,6,1,2,0,3,3,0,3,6,1,2,0,8,10,6,4,10,9,3,2,1,4,3,1,4,6,1,1,1,4,3,1,4,6,1,1,1,1,19,11,6,13,6,5,1,4,17,8,7,13,3,5,1,2,17,8,7,13,3,5,1,2,5,12,10,1,4,6,2,1,6,4,3,1,1,3,1,1,1,4,3,1,1,3,1,1,1,10,3.716666666666667
2016-10-01,Watford,Bournemouth,2,2,D,0,1,A,17,11,7,2,17,12,4,5,3,4,0,0,19.91,19.73,0.38,0,11,7,6,1,10,11,2,3,1,3,3,-3,5,6,1,2,0,3,3,-3,5,6,1,2,0,15,7,6,-6,4,9,2,8,1,1,3,-1,1,6,0,2,1,1,3,-1,1,6,0,2,1,16,4,3,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,4,1,1,2,1,1,2,4,3,1,1,2,1,1,1,4,3,1,1,2,1,1,1,8,2.433333333333333
2016-10-01,Watford,Bournemouth,2,2,D,0,1,A,17,11,7,2,17,12,4,5,3,4,0,0,19.91,19.73,0.38,0,11,7,6,1,10,11,2,3,1,3,3,-3,5,6,1,2,0,3,3,-3,5,6,1,2,0,15,7,6,-6,4,9,2,8,1,1,3,-1,1,6,0,2,1,1,3,-1,1,6,0,2,1,16,4,3,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,4,1,1,2,1,1,2,4,3,1,1,2,1,1,1,4,3,1,1,2,1,1,1,8,2.183333333333333
2016-10-01,West Ham,Middlesbrough,1,1,D,0,0,D,19,9,2,3,13,12,4,5,2,3,0,0,19.18,19.76,-0.38,0,18,3,6,-6,7,16,1,6,0,3,3,-1,3,7,1,2,0,3,3,-1,3,7,1,2,0,16,5,6,-2,6,9,1,3,2,4,3,1,3,4,1,1,1,4,3,1,3,4,1,1,1,2,15,10,1,4,6,4,2,3,14,7,0,4,1,4,1,2,14,7,0,4,1,4,1,2,13,5,5,0,3,5,1,1,2,4,3,2,3,3,1,1,1,4,3,2,3,3,1,1,1,7,1.883333333333333
2016-10-01,Swansea,Liverpool,1,2,A,1,0,H,8,18,3,6,11,9,3,10,2,2,0,0,19.67,20.7,-0.83,1,17,4,6,-3,5,10,1,4,1,1,3,-2,3,7,0,2,1,1,3,-2,3,7,0,2,1,5,13,6,3,16,9,4,1,1,7,4,-1,7,7,2,1,1,7,4,-1,7,7,2,1,1,3,14,8,6,9,3,4,1,2,12,5,0,9,2,4,1,0,12,5,0,9,2,4,1,0,11,7,4,-1,4,3,2,1,1,7,4,-1,4,3,2,1,1,7,4,-1,4,3,2,1,1,13,4.333333333333333
